,Small River site (Sligo Lane),Big River site (Cooper Hill),Hazelgreen gauge (small river),Rich Fountain gauge (big river)
Small River site (Sligo Lane),0,235.0862094,15.70660002,214.4168735
Big River site (Cooper Hill),235.0862094,0,219.3796094,20.66933587
Hazelgreen gauge (small river),15.70660002,219.3796094,0,198.7102735
Rich Fountain gauge (big river),214.4168735,20.66933587,198.7102735,0
